$0;1578228379251666200;1.13;KIEKER-SINGLETON;DESKTOP-4RF3KHM;1;false;0;NANOSECONDS;0
$1;1578228379265531000;public depends.extractor.ParserTest.<init>();<no-session-id>;4716394709763751937;1578228379265178200;1578228379265202100;DESKTOP-4RF3KHM;0;0
$1;1578228379265706200;public depends.extractor.java.JavaParserTest.<init>();<no-session-id>;4716394709763751938;1578228379265691100;1578228379265702700;DESKTOP-4RF3KHM;0;0
$1;1578228379265813000;public depends.extractor.java.JavaFileImportTest.<init>();<no-session-id>;4716394709763751939;1578228379265801600;1578228379265810000;DESKTOP-4RF3KHM;0;0
$1;1578228379741643900;public depends.entity.repo.SimpleIdGenerator.<init>();<no-session-id>;4716394709763751940;1578228379741615600;1578228379741638600;DESKTOP-4RF3KHM;2;2
$1;1578228379741788600;public depends.entity.repo.InMemoryEntityRepo.<init>();<no-session-id>;4716394709763751940;1578228379741754200;1578228379741785600;DESKTOP-4RF3KHM;3;2
$1;1578228380267669900;public depends.entity.GenericName.<init>(java.lang.String);<no-session-id>;4716394709763751940;1578228380267642200;1578228380267666200;DESKTOP-4RF3KHM;5;3
$1;1578228380267688700;public static depends.entity.GenericName depends.entity.GenericName.build(java.lang.String);<no-session-id>;4716394709763751940;1578228380267486900;1578228380267686900;DESKTOP-4RF3KHM;4;2
$1;1578228380267842900;public depends.entity.GenericName.<init>(java.lang.String);<no-session-id>;4716394709763751940;1578228380267839300;1578228380267840700;DESKTOP-4RF3KHM;8;4
$1;1578228380267853000;public static depends.entity.GenericName depends.entity.GenericName.build(java.lang.String);<no-session-id>;4716394709763751940;1578228380267833800;1578228380267851600;DESKTOP-4RF3KHM;7;3
$1;1578228380268114300;public depends.entity.GenericName depends.entity.GenericName.replace(java.lang.String, java.lang.String);<no-session-id>;4716394709763751940;1578228380268041600;1578228380268111500;DESKTOP-4RF3KHM;10;4
$1;1578228380279574400;public boolean depends.entity.GenericName.startsWith(java.lang.String);<no-session-id>;4716394709763751940;1578228380268188900;1578228380279564700;DESKTOP-4RF3KHM;11;4
$1;1578228380279738900;public java.lang.String depends.entity.GenericName.uniqName();<no-session-id>;4716394709763751940;1578228380279700200;1578228380279736000;DESKTOP-4RF3KHM;12;4
$1;1578228380279749900;private void depends.entity.Entity.deduceQualifiedName();<no-session-id>;4716394709763751940;1578228380267925600;1578228380279748500;DESKTOP-4RF3KHM;9;3
$1;1578228380279754700;public depends.entity.Entity.<init>(depends.entity.GenericName, depends.entity.Entity, java.lang.Integer);<no-session-id>;4716394709763751940;1578228380267809900;1578228380279753800;DESKTOP-4RF3KHM;6;2
