$0;1578228633738689700;1.13;KIEKER-SINGLETON;DESKTOP-4RF3KHM;1;false;0;NANOSECONDS;0
$1;1578228633744731500;public depends.extractor.ParserTest.<init>();<no-session-id>;1271985419755454465;1578228633744366900;1578228633744381600;DESKTOP-4RF3KHM;0;0
$1;1578228633744930500;public depends.extractor.java.JavaParserTest.<init>();<no-session-id>;1271985419755454466;1578228633744912700;1578228633744925800;DESKTOP-4RF3KHM;0;0
$1;1578228633745108200;public depends.extractor.java.JavaParameterParserTest.<init>();<no-session-id>;1271985419755454467;1578228633745092400;1578228633745104500;DESKTOP-4RF3KHM;0;0
$1;1578228633898728800;public depends.entity.repo.SimpleIdGenerator.<init>();<no-session-id>;1271985419755454468;1578228633898695500;1578228633898723100;DESKTOP-4RF3KHM;2;2
$1;1578228633898957200;public depends.entity.repo.InMemoryEntityRepo.<init>();<no-session-id>;1271985419755454468;1578228633898922400;1578228633898953200;DESKTOP-4RF3KHM;3;2
$1;1578228634417149800;public depends.entity.GenericName.<init>(java.lang.String);<no-session-id>;1271985419755454468;1578228634417088500;1578228634417144100;DESKTOP-4RF3KHM;5;3
$1;1578228634417356800;public static depends.entity.GenericName depends.entity.GenericName.build(java.lang.String);<no-session-id>;1271985419755454468;1578228634416878300;1578228634417352500;DESKTOP-4RF3KHM;4;2
$1;1578228634418309800;public depends.entity.GenericName.<init>(java.lang.String);<no-session-id>;1271985419755454468;1578228634418304400;1578228634418306300;DESKTOP-4RF3KHM;8;4
$1;1578228634418510400;public static depends.entity.GenericName depends.entity.GenericName.build(java.lang.String);<no-session-id>;1271985419755454468;1578228634418286200;1578228634418507900;DESKTOP-4RF3KHM;7;3
$1;1578228634418870500;public depends.entity.GenericName depends.entity.GenericName.replace(java.lang.String, java.lang.String);<no-session-id>;1271985419755454468;1578228634418807600;1578228634418867400;DESKTOP-4RF3KHM;10;4
$1;1578228634424531100;public boolean depends.entity.GenericName.startsWith(java.lang.String);<no-session-id>;1271985419755454468;1578228634419093000;1578228634424522000;DESKTOP-4RF3KHM;11;4
$1;1578228634424996000;public java.lang.String depends.entity.GenericName.uniqName();<no-session-id>;1271985419755454468;1578228634424941300;1578228634424991800;DESKTOP-4RF3KHM;12;4
$1;1578228634425210000;private void depends.entity.Entity.deduceQualifiedName();<no-session-id>;1271985419755454468;1578228634418708200;1578228634425206400;DESKTOP-4RF3KHM;9;3
$1;1578228634426456800;public depends.entity.Entity.<init>(depends.entity.GenericName, depends.entity.Entity, java.lang.Integer);<no-session-id>;1271985419755454468;1578228634418242700;1578228634426448500;DESKTOP-4RF3KHM;6;2
$1;1578228634426919700;public depends.entity.DecoratedEntity.<init>(depends.entity.GenericName, depends.entity.Entity, java.lang.Integer);<no-session-id>;1271985419755454468;1578228634426897300;1578228634426915200;DESKTOP-4RF3KHM;13;2
$1;1578228634428834500;public depends.entity.ContainerEntity.<init>(depends.entity.GenericName, depends.entity.Entity, java.lang.Integer);<no-session-id>;1271985419755454468;1578228634428807700;1578228634428829500;DESKTOP-4RF3KHM;14;2
$1;1578228634429676200;public depends.entity.TypeEntity.<init>(depends.entity.GenericName, depends.entity.Entity, java.lang.Integer);<no-session-id>;1271985419755454468;1578228634429643300;1578228634429672200;DESKTOP-4RF3KHM;15;2
$1;1578228634429737900;public depends.entity.GenericName.<init>(java.lang.String);<no-session-id>;1271985419755454468;1578228634429734600;1578228634429736000;DESKTOP-4RF3KHM;17;3
$1;1578228634429744400;public static depends.entity.GenericName depends.entity.GenericName.build(java.lang.String);<no-session-id>;1271985419755454468;1578228634429725900;1578228634429742900;DESKTOP-4RF3KHM;16;2
$1;1578228634430025500;public depends.entity.GenericName.<init>(java.lang.String);<no-session-id>;1271985419755454468;1578228634430022200;1578228634430023500;DESKTOP-4RF3KHM;20;4
$1;1578228634430130100;public static depends.entity.GenericName depends.entity.GenericName.build(java.lang.String);<no-session-id>;1271985419755454468;1578228634430014000;1578228634430127700;DESKTOP-4RF3KHM;19;3
$1;1578228634430222700;public depends.entity.GenericName depends.entity.GenericName.replace(java.lang.String, java.lang.String);<no-session-id>;1271985419755454468;1578228634430205200;1578228634430220700;DESKTOP-4RF3KHM;22;4
$1;1578228634430238700;public boolean depends.entity.GenericName.startsWith(java.lang.String);<no-session-id>;1271985419755454468;1578228634430234400;1578228634430237000;DESKTOP-4RF3KHM;23;4
$1;1578228634430253200;public java.lang.String depends.entity.GenericName.uniqName();<no-session-id>;1271985419755454468;1578228634430248400;1578228634430251600;DESKTOP-4RF3KHM;24;4
$1;1578228634430257900;private void depends.entity.Entity.deduceQualifiedName();<no-session-id>;1271985419755454468;1578228634430197100;1578228634430256600;DESKTOP-4RF3KHM;21;3
$1;1578228634430261400;public depends.entity.Entity.<init>(depends.entity.GenericName, depends.entity.Entity, java.lang.Integer);<no-session-id>;1271985419755454468;1578228634429755400;1578228634430260400;DESKTOP-4RF3KHM;18;2
$1;1578228634430281800;public depends.entity.DecoratedEntity.<init>(depends.entity.GenericName, depends.entity.Entity, java.lang.Integer);<no-session-id>;1271985419755454468;1578228634430276400;1578228634430280500;DESKTOP-4RF3KHM;25;2
$1;1578228634430293800;public depends.entity.ContainerEntity.<init>(depends.entity.GenericName, depends.entity.Entity, java.lang.Integer);<no-session-id>;1271985419755454468;1578228634430291200;1578228634430292600;DESKTOP-4RF3KHM;26;2
$1;1578228634430307000;public depends.entity.TypeEntity.<init>(depends.entity.GenericName, depends.entity.Entity, java.lang.Integer);<no-session-id>;1271985419755454468;1578228634430304100;1578228634430305700;DESKTOP-4RF3KHM;27;2
$1;1578228634430330500;public depends.entity.GenericName.<init>(java.lang.String);<no-session-id>;1271985419755454468;1578228634430327900;1578228634430329000;DESKTOP-4RF3KHM;29;3
$1;1578228634430334800;public static depends.entity.GenericName depends.entity.GenericName.build(java.lang.String);<no-session-id>;1271985419755454468;1578228634430321900;1578228634430333600;DESKTOP-4RF3KHM;28;2
$1;1578228634430355100;public depends.entity.GenericName.<init>(java.lang.String);<no-session-id>;1271985419755454468;1578228634430352900;1578228634430353800;DESKTOP-4RF3KHM;32;4
$1;1578228634430359300;public static depends.entity.GenericName depends.entity.GenericName.build(java.lang.String);<no-session-id>;1271985419755454468;1578228634430348500;1578228634430358200;DESKTOP-4RF3KHM;31;3
$1;1578228634430383500;public depends.entity.GenericName depends.entity.GenericName.replace(java.lang.String, java.lang.String);<no-session-id>;1271985419755454468;1578228634430371400;1578228634430381900;DESKTOP-4RF3KHM;34;4
$1;1578228634430394800;public boolean depends.entity.GenericName.startsWith(java.lang.String);<no-session-id>;1271985419755454468;1578228634430391900;1578228634430393400;DESKTOP-4RF3KHM;35;4
$1;1578228634430405900;public java.lang.String depends.entity.GenericName.uniqName();<no-session-id>;1271985419755454468;1578228634430402700;1578228634430404500;DESKTOP-4RF3KHM;36;4
$1;1578228634430410000;private void depends.entity.Entity.deduceQualifiedName();<no-session-id>;1271985419755454468;1578228634430366200;1578228634430408800;DESKTOP-4RF3KHM;33;3
$1;1578228634430413200;public depends.entity.Entity.<init>(depends.entity.GenericName, depends.entity.Entity, java.lang.Integer);<no-session-id>;1271985419755454468;1578228634430343100;1578228634430412200;DESKTOP-4RF3KHM;30;2
$1;1578228634430422400;public depends.entity.DecoratedEntity.<init>(depends.entity.GenericName, depends.entity.Entity, java.lang.Integer);<no-session-id>;1271985419755454468;1578228634430420200;1578228634430421200;DESKTOP-4RF3KHM;37;2
$1;1578228634430431900;public depends.entity.ContainerEntity.<init>(depends.entity.GenericName, depends.entity.Entity, java.lang.Integer);<no-session-id>;1271985419755454468;1578228634430429800;1578228634430430700;DESKTOP-4RF3KHM;38;2
$1;1578228634430440800;public depends.entity.TypeEntity.<init>(depends.entity.GenericName, depends.entity.Entity, java.lang.Integer);<no-session-id>;1271985419755454468;1578228634430438500;1578228634430439700;DESKTOP-4RF3KHM;39;2
$1;1578228634453763900;public depends.extractor.java.JavaImportLookupStrategy.<init>();<no-session-id>;1271985419755454468;1578228634453746600;1578228634453759800;DESKTOP-4RF3KHM;40;2
$1;1578228634454469900;public depends.entity.repo.BuiltInType.<init>();<no-session-id>;1271985419755454468;1578228634454442200;1578228634454465700;DESKTOP-4RF3KHM;41;2
$1;1578228634454704700;public java.lang.String[] depends.extractor.java.JavaBuiltInType.getBuiltInPrefixStr();<no-session-id>;1271985419755454468;1578228634454690500;1578228634454702100;DESKTOP-4RF3KHM;44;4
$1;1578228634454960400;public java.lang.String[] depends.extractor.java.JavaBuiltInType.getBuiltInTypeStr();<no-session-id>;1271985419755454468;1578228634454785500;1578228634454957600;DESKTOP-4RF3KHM;45;4
$1;1578228634455122100;public java.lang.String[] depends.extractor.java.JavaBuiltInType.getBuiltInMethods();<no-session-id>;1271985419755454468;1578228634455112000;1578228634455119800;DESKTOP-4RF3KHM;46;4
$1;1578228634455129000;public void depends.entity.repo.BuiltInType.createBuiltInTypes();<no-session-id>;1271985419755454468;1578228634454611800;1578228634455127500;DESKTOP-4RF3KHM;43;3
$1;1578228634455133100;public depends.extractor.java.JavaBuiltInType.<init>();<no-session-id>;1271985419755454468;1578228634454549600;1578228634455132100;DESKTOP-4RF3KHM;42;2
$1;1578228634455468300;public depends.entity.repo.BuiltInType.<init>();<no-session-id>;1271985419755454468;1578228634455464000;1578228634455466200;DESKTOP-4RF3KHM;48;3
$1;1578228634455555900;public depends.entity.repo.NullBuiltInType.<init>();<no-session-id>;1271985419755454468;1578228634455546500;1578228634455553900;DESKTOP-4RF3KHM;49;3
